,Temperature[Degree Celsius],10m_X_Wind_Speed [m/s],10m_Y_Wind_Speed [m/s],Surface Pressure [Pa],Precipitatio(cumulus scheme)[kg/m2s1],Precipitatio(microphysics scheme)[kg/m2s1],Humidity,Sunshine Duration(short wave radiation>120 Wm2)[s],Upwelling Surface Shortwave Radiation[W/m2],Upwelling Surface Longwave Radiation[W/m2],Downward SWR,Downward LWR
2020-01-07 04:00:00,-14.306005859374977,-0.8936986923217773,0.3973114490509033,93822.34375,0.005310939159244299,3.621157646179199,0.0013430670369416475,0.0,12790519.0,147434768.0,20991442.0,121711608.0
2020-01-07 05:00:00,-14.552038574218727,0.6553086042404175,1.1654852628707886,93826.6171875,0.005310939159244299,3.621157646179199,0.001228565932251513,0.0,12790519.0,148316048.0,20991442.0,122380248.0
2020-01-07 06:00:00,-14.964361572265602,1.3288228511810303,1.4706382751464844,93802.0859375,0.005310939159244299,3.621157646179199,0.0011908700689673424,0.0,12790519.0,149204528.0,20991442.0,123044088.0
2020-01-07 07:00:00,-15.590917968749977,1.252906084060669,0.9261239767074585,93881.234375,0.005310939159244299,3.621157646179199,0.00113688874989748,0.0,12790519.0,150085808.0,20991442.0,123695688.0
2020-01-07 08:00:00,-15.201239013671852,1.2087398767471313,1.3285146951675415,93905.8203125,0.005310939159244299,3.621157646179199,0.0011506888549774885,0.0,12790519.0,150966608.0,20991442.0,124364328.0
2020-01-07 09:00:00,-14.744970703124977,0.8984038829803467,1.420533537864685,93992.140625,0.005310939159244299,3.621157646179199,0.001164216548204422,0.0,12790519.0,151850768.0,20991442.0,125047128.0
2020-01-07 10:00:00,-14.259405517578102,1.0283421277999878,1.097867727279663,93979.25,0.005310939159244299,3.621157646179199,0.001171074458397925,0.0,12790519.0,152740208.0,20991442.0,125752488.0
2020-01-07 11:00:00,-13.451635742187477,1.1816043853759766,0.8739811778068542,94030.671875,0.005310939159244299,3.6212518215179443,0.0012096409918740392,0.0,12790519.0,153631088.0,20991442.0,126461208.0
2020-01-07 12:00:00,-13.808355712890602,0.48942071199417114,0.9617143869400024,94046.21875,0.005310939159244299,3.6254799365997314,0.0012146678054705262,0.0,12790519.0,154518608.0,20991442.0,127168248.0
2020-01-07 13:00:00,-13.917150878906227,0.7936094999313354,1.2140276432037354,94101.453125,0.005310939159244299,3.63911771774292,0.0012054916005581617,0.0,12790519.0,155397488.0,20991442.0,127855848.0
2020-01-07 14:00:00,-13.481359863281227,1.197614312171936,1.0971664190292358,94102.5234375,0.005310939159244299,3.642056703567505,0.0012495891423895955,0.0,12790519.0,156273008.0,20991442.0,128527848.0
2020-01-07 15:00:00,-13.313574218749977,1.1876773834228516,1.636496663093567,94112.9296875,0.005310939159244299,3.6424777507781982,0.0012625382514670491,0.0,12790519.0,157143248.0,20991442.0,129187368.0
2020-01-07 16:00:00,-13.947088623046852,1.2936502695083618,1.7726854085922241,94062.859375,0.005310939159244299,3.6424777507781982,0.001270351349376142,0.13150951266288757,12790579.0,158015408.0,20991502.0,129839688.0
2020-01-07 17:00:00,-13.992712402343727,0.9226871132850647,1.7778922319412231,94057.296875,0.005310939159244299,3.6424777507781982,0.0012287794379517436,80.44586944580078,12892309.0,158898608.0,21150202.0,130497528.0
